ID,exponential_glrlm_GrayLevelNonUniformity,exponential_glrlm_ShortRunEmphasis,gradient_glcm_Imc2,gradient_glszm_ZoneEntropy,lbp_3D_k_glszm_SmallAreaLowGrayLevelEmphasis,lbp_3D_m1_glrlm_GrayLevelNonUniformityNormalized,original_shape_Elongation,square_firstorder_Range,squareroot_firstorder_Kurtosis,squareroot_glrlm_RunEntropy,squareroot_glszm_GrayLevelVariance,wavelet_HLH_glszm_LowGrayLevelZoneEmphasis,wavelet_HLL_firstorder_Kurtosis,wavelet_LHH_glrlm_LongRunHighGrayLevelEmphasis,wavelet_LLH_glszm_LargeAreaHighGrayLevelEmphasis
1.nii.gz,-0.09748462951512907,-0.6689075114541382,-2.3647534995358805,-2.62458461192033,-0.6499336314020573,-0.29065115766541355,-1.183747954103444,-0.4516970474041893,-0.5960674318147619,-2.3594016342004314,0.5650411783056962,-0.5140584357507316,-0.3627187371740599,-1.0289585690076806,-0.3836518467925995
10.nii.gz,-0.8750515211227012,0.09226406617152365,-1.4689517652370734,-2.4778595135037023,1.4150269653330492,-0.18562332096725215,-0.10823890308021406,-1.3095517307163826,-0.7030693213829362,-1.8944186521217943,-0.0768467951955468,-0.856727326818372,-0.36385027092449035,-1.0121074103465155,-0.7415978004446379
100.nii.gz,-0.7469217375531233,-1.1628099164626478,-0.4507727456580897,-2.0381009032574826,-0.2109489730217962,0.32886762579129986,-0.5824475812046552,0.583910410527869,0.28426135558209875,-3.1475825315065253,1.5140169826820244,1.3881578609263687,-0.012809866286327144,-1.282312598150546,-0.56709496564152
101.nii.gz,-0.8309037105460031,0.12666636229401193,1.2937540545071071,0.03462817798180444,-2.442096932799174,1.392658198394444,1.4573402335895305,-0.5477687822784455,1.22952116289652,-0.7420076805827198,-1.9321512392323152,1.301661388638713,-0.2778599610756408,-1.2704641455321104,-0.6712456698558931
102.nii.gz,-0.40562271476644707,-1.0096450572959021,0.20233669721816855,-0.14501513563321353,0.0522044509896082,0.3432001869410782,0.012986108568199343,-0.9949852458759569,-0.7191193811996682,0.24636734856711387,0.7106656830598408,-1.4664932394290178,0.0956416149400969,1.877574326872988,-0.5022036313465125
103.nii.gz,-0.942535007698317,-2.531588755821918,1.404338932539672,0.33669446363106814,-2.1961959491062943,0.08375979061584793,0.7438546152123057,0.13529558316611598,1.0498713864280718,-0.9326839086231743,-0.6787633228409388,0.6615874937100603,-0.32091156242025703,-1.2354988311849433,-0.9003127263903183
104.nii.gz,-0.1049305810902674,1.049773002803064,-0.5352106636948907,-0.5548682327333523,0.29998421613436466,2.630639193222734,-1.5642268396250425,-0.14725672617233168,0.7477360219092873,0.9270335010593321,-1.786035777462107,0.04459823105752338,-0.3402988871530193,-0.024264123216823696,0.5429637954467137
105.nii.gz,-0.42766461651395804,0.22240017881334975,0.33000833394869566,0.5223144560191487,-1.0046914403616753,-0.30499746034196806,0.3322758858249361,-0.1373261044708526,-0.6846184064121974,0.5198214947196138,0.2458334580493543,0.5771821449282603,-0.3623335184329927,0.2886909878837773,-0.636174240156204
106.nii.gz,0.31864466156720467,0.7799680168244736,1.0323347269201488,1.4541107419603965,-1.4355357799615993,-0.3150931912582582,-0.34648196152627647,0.4429447027742468,-0.602211985670961,0.3533436377751851,0.6066020783438746,1.123595718620968,-0.20735779759764528,-0.3799830884316941,-0.14033961008506027
107.nii.gz,-1.0628194183813808,-0.4184598732662711,1.5179895676838417,-0.33202006331615963,-1.5893944835078169,-0.19479024496523495,1.5896311186474363,-2.1081888547844905,0.15934699608598313,-0.5484094040635294,-1.261667584090097,0.8152052284929373,-0.3668227068424293,-0.5731776931542566,-0.8879886192924842
